"Data","À vista R$","À vista US$"
"21/01/2025","2.315,53","383,87"
"22/01/2025","2.359,45","397,28"
"23/01/2025","2.398,06","405,28"
"24/01/2025","2.387,85","403,90"
"27/01/2025","2.397,58","405,61"
"28/01/2025","2.412,41","410,90"
"29/01/2025","2.467,71","419,75"
"30/01/2025","2.506,02","427,07"
"31/01/2025","2.508,18","429,48"
"03/02/2025","2.565,86","441,25"
"04/02/2025","2.560,36","443,89"
"05/02/2025","2.617,72","452,19"
"06/02/2025","2.666,28","462,17"
"07/02/2025","2.654,96","458,70"
"10/02/2025","2.738,95","473,13"
"11/02/2025","2.729,87","473,20"
"12/02/2025","2.769,45","480,81"
"13/02/2025","2.766,37","479,52"
"14/02/2025","2.731,16","478,90"
"17/02/2025","2.698,73","472,63"
"18/02/2025","2.663,83","467,99"
"19/02/2025","2.700,86","472,34"
"20/02/2025","2.627,64","460,42"
"21/02/2025","2.588,42","451,89"
"24/02/2025","2.545,30","442,66"
"25/02/2025","2.494,76","433,57"
"26/02/2025","2.480,83","427,80"
"27/02/2025","2.472,31","423,99"
"28/02/2025","2.482,22","420,36"
"05/03/2025","2.612,63","453,90"
"06/03/2025","2.543,07","441,20"
"07/03/2025","2.514,82","434,19"
"10/03/2025","2.525,06","431,34"
"11/03/2025","2.561,17","440,97"
"12/03/2025","2.532,40","436,17"
"13/03/2025","2.541,58","438,20"
"14/03/2025","2.494,82","434,56"
"17/03/2025","2.520,22","444,25"
"18/03/2025","2.509,06","442,28"
"19/03/2025","2.529,28","447,58"
"20/03/2025","2.548,18","449,57"
"21/03/2025","2.553,66","446,68"
"24/03/2025","2.579,60","448,47"
"25/03/2025","2.609,91","457,72"
"26/03/2025","2.597,83","452,98"
"27/03/2025","2.544,62","442,08"
"28/03/2025","2.510,47","436,00"
"31/03/2025","2.521,21","441,85"
"01/04/2025","2.559,28","450,18"
"02/04/2025","2.561,84","449,92"
"03/04/2025","2.546,39","452,61"
"04/04/2025","2.508,41","429,82"
"07/04/2025","2.430,27","411,14"
"08/04/2025","2.402,18","401,23"
"09/04/2025","2.389,03","409,15"
"10/04/2025","2.399,70","406,45"
"11/04/2025","2.423,80","412,91"
"14/04/2025","2.480,60","423,96"
"15/04/2025","2.496,83","423,77"
"16/04/2025","2.530,29","431,05"
"17/04/2025","2.520,65","434,07"
"22/04/2025","2.521,98","440,75"
"23/04/2025","2.563,95","448,64"
"24/04/2025","2.593,24","456,32"
"25/04/2025","2.611,02","459,44"
"28/04/2025","2.658,07","470,12"
"29/04/2025","2.665,07","473,20"
"30/04/2025","2.616,02","461,22"
"02/05/2025","2.588,62","457,76"
"05/05/2025","2.580,32","453,64"
"06/05/2025","2.589,71","453,78"
"07/05/2025","2.582,77","448,40"
"08/05/2025","2.560,75","451,55"
"09/05/2025","2.553,20","451,49"
"12/05/2025","2.528,62","444,71"
"13/05/2025","2.505,29","447,29"
"14/05/2025","2.472,07","439,32"
"15/05/2025","2.495,28","439,16"
"16/05/2025","2.473,66","436,43"
"19/05/2025","2.496,07","441,47"
"20/05/2025","2.447,60","431,60"
"21/05/2025","2.478,07","438,60"
"22/05/2025","2.445,92","432,91"
"23/05/2025","2.418,36","427,73"
"26/05/2025","2.423,72","427,16"
"27/05/2025","2.423,72","429,05"
"28/05/2025","2.397,62","421,15"
"29/05/2025","2.372,99","418,59"
"30/05/2025","2.335,77","408,49"
"02/06/2025","2.316,40","407,67"
"03/06/2025","2.267,09","401,89"
"04/06/2025","2.267,41","401,31"
"05/06/2025","2.301,91","411,72"
"06/06/2025","2.316,32","416,45"
"09/06/2025","2.303,94","414,15"
